Dia_Numero,Dia_Semana,Tema,Versiculos,Texto_Completo
57,Segunda,Recomeço,"Jo 8:11, Hb 10:22, 1Pe 2:2","Jo 8:11 - Respondeu ela: Ninguém, Senhor. Declarou Jesus: Nem eu a condeno. Vá agora e não volte a pecar. | Hb 10:22 - Aproximemo-nos de Deus com um coração sincero e com plena convicção de fé, tendo os corações purificados de uma mente culpada e os corpos lavados com água pura. | 1Pe 2:2 - Como crianças recém-nascidas, desejem de coração o leite espiritual puro, para que por meio dele cresçam para a salvação."
58,Terça,Foco e Autocontrole,"1Ts 5:6, 1Tm 4:7-8, Tg 1:12","1Ts 5:6 - Portanto, não durmamos como os demais, mas estejamos atentos e sejamos sóbrios. | 1Tm 4:7-8 - Rejeite, porém, as fábulas profanas e tolas e exercite-se na piedade. Pois o exercício físico traz algum benefício, mas a piedade para tudo é proveitosa, tendo promessa de vida tanto para a presente quanto para a futura. | Tg 1:12 - Feliz é o homem que persevera na provação, porque depois de aprovado receberá a coroa da vida, que Deus prometeu aos que o amam."
59,Quarta,Família,"Pv 18:22, Pv 20:7, Pv 23:22","Pv 18:22 - Quem encontra uma esposa acha uma coisa boa e alcança o favor do Senhor. | Pv 20:7 - O homem justo leva uma vida íntegra; como são felizes os seus filhos! | Pv 23:22 - Ouça o seu pai, que o gerou; não despreze sua mãe quando ela envelhecer."
60,Quinta,Organização e Finanças,"Pv 22:4, Pv 28:19, Ec 3:1","Pv 22:4 - A recompensa da humildade e do temor do Senhor são a riqueza, a honra e a vida. | Pv 28:19 - Quem lavra sua terra terá comida com fartura, mas quem persegue fantasias se fartará de miséria. | Ec 3:1 - Para tudo há uma ocasião certa; há um tempo certo para cada propósito debaixo do céu."
61,Sexta,Paz e Cura,"Rm 5:1, Rm 8:6, Rm 14:17","Rm 5:1 - Tendo sido, pois, justificados pela fé, temos paz com Deus, por nosso Senhor Jesus Cristo. | Rm 8:6 - A mentalidade da carne é morte, mas a mentalidade do Espírito é vida e paz. | Rm 14:17 - Pois o Reino de Deus não é comida nem bebida, mas justiça, paz e alegria no Espírito Santo."
62,Sábado,Esperança e Força,"Rm 5:2-5, Rm 15:13, 1Co 13:13","Rm 5:2-5 - Por meio de quem obtivemos acesso pela fé a esta graça na qual agora estamos firmes; e nos gloriamos na esperança da glória de Deus. E a esperança não nos decepciona, porque Deus derramou seu amor em nossos corações. | Rm 15:13 - Que o Deus da esperança os encha de toda alegria e paz, por sua confiança nele, para que vocês transbordem de esperança, pelo poder do Espírito Santo. | 1Co 13:13 - Assim, permanecem agora estes três: a fé, a esperança e o amor. O maior deles, porém, é o amor."
63,Domingo,Gratidão e Louvor,"Lc 17:15-16, At 16:25, Rm 11:36","Lc 17:15-16 - Um deles, quando viu que estava curado, voltou, louvando a Deus em alta voz. Prostrou-se aos pés de Jesus e lhe agradeceu. Este era samaritano. | At 16:25 - Por volta da meia-noite, Paulo e Silas estavam orando e cantando hinos a Deus; os outros presos os ouviam. | Rm 11:36 - Pois dele, por ele e para ele são todas as coisas. A ele seja a glória para sempre! Amém."
64,Segunda,Recomeço,"Rm 12:1-2, Gl 5:16, Fp 1:6","Rm 12:1-2 - Portanto, irmãos, rogo-lhes pelas misericórdias de Deus que se ofereçam em sacrifício vivo, santo e agradável a Deus; este é o culto racional de vocês. Não se amoldem ao padrão deste mundo, mas transformem-se pela renovação da sua mente. | Gl 5:16 - Por isso digo: Vivam pelo Espírito, e de modo nenhum satisfarão os desejos da carne. | Fp 1:6 - Estou convencido de que aquele que começou boa obra em vocês, vai completá-la até o dia de Cristo Jesus."
65,Terça,Foco e Autocontrole,"1Pe 4:7, 2Pe 3:17-18, Pv 10:17","1Pe 4:7 - O fim de todas as coisas está próximo. Portanto, sejam criteriosos e sóbrios; dediquem-se à oração. | 2Pe 3:17-18 - Portanto, amados, sabendo disso, guardem-se para que não sejam arrastados pelo erro desses homens sedutores e caiam da sua posição segura. Cresçam, porém, na graça e no conhecimento de nosso Senhor e Salvador Jesus Cristo. | Pv 10:17 - Quem acolhe a disciplina mostra o caminho da vida, mas quem ignora a repreensão desencaminha outros."
66,Quarta,Família,"Pv 27:17, Is 54:13, Ml 2:15","Pv 27:17 - Assim como o ferro afia o ferro, o homem afia o seu companheiro. | Is 54:13 - Todos os seus filhos serão ensinados pelo Senhor, e grande será a paz de suas crianças. | Ml 2:15 - Não foi o Senhor que os fez um só? Em corpo e em espírito eles pertencem a ele. E por que um só? Porque ele desejava uma descendência consagrada."
67,Quinta,Organização e Finanças,"Lc 6:38, At 20:35, 2Co 9:10-11","Lc 6:38 - Dêem, e lhes será dado: uma boa medida, calcada, sacudida e transbordante será dada a vocês. Pois a medida que usarem, também será usada para medir vocês. | At 20:35 - Em tudo o que fiz, mostrei-lhes que mediante trabalho árduo devemos ajudar os fracos, lembrando as palavras do próprio Senhor Jesus: Há maior felicidade em dar do que em receber. | 2Co 9:10-11 - Aquele que supre a semente ao que semeia e o pão ao que come, também lhes suprirá e multiplicará a semente e aumentará os frutos da sua justiça. Vocês serão enriquecidos de todas as formas, para que possam ser generosos em qualquer ocasião."
68,Sexta,Paz e Cura,"Gl 5:22, Ef 2:14, Cl 3:15","Gl 5:22 - Mas o fruto do Espírito é amor, alegria, paz, paciência, amabilidade, bondade, fidelidade. | Ef 2:14 - Porque ele é a nossa paz, o qual de ambos fez um e destruiu a barreira, o muro de inimizade. | Cl 3:15 - Que a paz de Cristo seja o juiz em seus corações, visto que vocês foram chamados para viver em paz, como membros de um só corpo. E sejam agradecidos."
69,Sábado,Esperança e Força,"Ef 1:18-19, Cl 1:27, 1Ts 1:3","Ef 1:18-19 - Oro também para que os olhos do coração de vocês sejam iluminados, a fim de que conheçam a esperança para a qual ele os chamou, as riquezas da gloriosa herança dele nos santos e a incomparável grandeza do seu poder para conosco, os que cremos. | Cl 1:27 - A eles quis Deus dar a conhecer entre os gentios a gloriosa riqueza deste mistério, que é Cristo em vocês, a esperança da glória. | 1Ts 1:3 - Lembramos continuamente, diante de nosso Deus e Pai, o que vocês têm demonstrado: o trabalho que resulta da fé, o esforço motivado pelo amor e a firmeza da esperança em nosso Senhor Jesus Cristo."
70,Domingo,Gratidão e Louvor,"2Co 2:14, 2Co 9:15, Fp 1:3-4","2Co 2:14 - Mas graças a Deus, que sempre nos conduz vitoriosamente em Cristo e por nosso intermédio exala em todo lugar a fragrância do seu conhecimento. | 2Co 9:15 - Graças a Deus por seu dom indescritível! | Fp 1:3-4 - Agradeço a meu Deus toda vez que me lembro de vocês. Em todas as minhas orações em favor, sempre oro com alegria."
71,Segunda,Recomeço,"Hb 4:16, Tg 1:17, Is 55:7","Hb 4:16 - Assim, aproximemo-nos do trono da graça com toda a confiança, a fim de recebermos misericórdia e encontrarmos graça que nos ajude no momento da necessidade. | Tg 1:17 - Toda boa dádiva e todo dom perfeito vêm do alto, descendo do Pai das luzes, que não muda como sombras inconstantes. | Is 55:7 - Deixe o ímpio o seu caminho, e o homem mau os seus pensamentos. Volte-se ele para o Senhor, que terá misericórdia dele; volte-se para o nosso Deus, pois ele dá de bom grado o seu perdão."
72,Terça,Foco e Autocontrole,"Pv 23:12, Dn 1:8, Lc 21:34","Pv 23:12 - Aplique o coração ao ensino e os ouvidos às palavras do conhecimento. | Dn 1:8 - Daniel, contudo, decidiu firmemente não se contaminar com a comida e o vinho do rei, e pediu ao chefe dos oficiais permissão para se abster deles. | Lc 21:34 - Tenham cuidado, para que os seus corações não fiquem sobrecarregados de libertinagem, bebedeira e ansiedades da vida, e aquele dia continue sobre vocês inesperadamente como uma armadilha."
73,Quarta,Família,"Jo 15:12, Rm 14:19, 1Co 1:10","Jo 15:12 - O meu mandamento é este: Amem-se uns aos outros como eu os amei. | Rm 14:19 - Por isso, esforcemo-nos em promover tudo quanto conduz à paz e à edificação mútua. | 1Co 1:10 - Irmãos, suplico-lhes em nome de nosso Senhor Jesus Cristo que concordem uns com os outros no que falam, para que não haja divisões entre vocês, e, sim, que todos estejam plenamente unidos num só pensamento e num só parecer."
74,Quinta,Organização e Finanças,"Gl 6:7, Ef 4:28, 1Tm 6:17-18","Gl 6:7 - Não se deixem enganar: de Deus não se zomba. Pois o que o homem semear, isso também colherá. | Ef 4:28 - O que furtava não furte mais; antes trabalhe, fazendo algo de útil com as mãos, para que tenha o que repartir com quem estiver em necessidade. | 1Tm 6:17-18 - Exorte os ricos deste mundo a não serem orgulhosos nem a colocarem sua esperança na incerteza da riqueza, mas em Deus, que de tudo nos provê ricamente para a nossa satisfação. Ordene-lhes que pratiquem o bem, sejam ricos em boas obras, generosos e prontos a repartir."
75,Sexta,Paz e Cura,"Hb 12:14, Tg 3:17-18, 1Pe 3:11","Hb 12:14 - Esforcem-se para viver em paz com todos e para serem santos; sem santidade ninguém verá o Senhor. | Tg 3:17-18 - Mas a sabedoria que vem do alto é antes de tudo pura; depois, pacífica, amável, compreensiva, cheia de misericórdia e de bons frutos, imparcial e sincera. O fruto da justiça semeia-se em paz para os pacificadores. | 1Pe 3:11 - Afaste-se do mal e faça o bem; busque a paz e com determinação siga-a."
76,Sábado,Esperança e Força,"Tt 2:13, Hb 10:23, Hb 11:1","Tt 2:13 - Enquanto aguardamos a bendita esperança: a gloriosa manifestação de nosso grande Deus e Salvador, Jesus Cristo. | Hb 10:23 - Apeguemo-nos com firmeza à esperança que professamos, pois aquele que prometeu é fiel. | Hb 11:1 - Ora, a fé é a certeza daquilo que esperamos e a prova das coisas que não vemos."
77,Domingo,Gratidão e Louvor,"Cl 1:12, Cl 2:7, Cl 4:2","Cl 1:12 - Dando graças ao Pai, que nos tornou dignos de participar da herança dos santos no reino da luz. | Cl 2:7 - Arraigados e edificados nele, firmados na fé tal como foram ensinados, transbordando de gratidão. | Cl 4:2 - Dediquem-se à oração, estejam alertas e sejam agradecidos."
78,Segunda,Recomeço,"Os 6:1, Jl 2:25-26, Sf 3:17","Os 6:1 - Venham, voltemos para o Senhor. Ele nos despedaçou, mas nos sarará; ele nos feriu, mas nos curará. | Jl 2:25-26 - Vou restituir-lhes os anos que foram devorados pelo gafanhoto... Vocês comerão até ficarem satisfeitos e louvarão o nome do Senhor, o seu Deus. | Sf 3:17 - O Senhor, o seu Deus, está em seu meio, poderoso para salvar. Ele se regozijará em você com alegria, com o seu amor a renovará, ele se regozijará em você com júbilo."
79,Terça,Foco e Autocontrole,"Rm 12:3, 2Co 7:1, Ef 6:14","Rm 12:3 - Pois pela graça que me foi dada digo a todos vocês: Ninguém tenha de si mesmo um conceito mais elevado do que deve ter; mas, ao contrário, tenha um conceito equilibrado, de acordo com a medida da fé que Deus lhe deu. | 2Co 7:1 - Amados, visto que temos essas promessas, purifiquemo-nos de tudo o que contamina o corpo e o espírito, aperfeiçoando a santidade no temor de Deus. | Ef 6:14 - Assim, mantenham-se firmes, cingindo-se com o cinto da verdade, vestindo a couraça da justiça."
80,Quarta,Família,"Ef 4:32, Fp 2:3-4, Cl 3:13","Ef 4:32 - Sejam bondosos e compassivos uns para com os outros, perdoando-se mutuamente, assim como Deus perdoou vocês em Cristo. | Fp 2:3-4 - Nada façam por ambição egoísta ou por vaidade, mas humildemente considerem os outros superiores a vocês mesmos. Cada um cuide, não somente dos seus interesses, mas também dos interesses dos outros. | Cl 3:13 - Suportem-se uns aos outros e perdoem as queixas que tiverem uns contra os outros. Perdoem como o Senhor lhes perdoou."
81,Quinta,Organização e Finanças,"Tg 4:13-15, 1Jo 3:17, 3Jo 1:2","Tg 4:13-15 - Ouçam agora, vocês que dizem: Hoje ou amanhã iremos para esta ou aquela cidade, passaremos um ano ali, faremos negócios e ganharemos dinheiro. Vocês nem sabem o que acontecerá amanhã! Em vez disso, deveriam dizer: Se o Senhor quiser, viveremos e faremos isto ou aquilo. | 1Jo 3:17 - Se alguém tiver recursos materiais e, vendo seu irmão em necessidade, não se compadecer dele, como pode permanecer nele o amor de Deus? | 3Jo 1:2 - Amado, oro para que você tenha boa saúde e tudo corra bem, assim como vai bem a sua alma."
82,Sexta,Paz e Cura,"Sl 23:4, Sl 55:22, Ap 21:4","Sl 23:4 - Mesmo não tendo que andar pelo vale da sombra da morte, não temerei perigo algum, pois tu estás comigo; a tua vara e o teu cajado me protegem. | Sl 55:22 - Entregue suas preocupações ao Senhor, e ele o susterá; jamais permitirá que o justo venha a cair. | Ap 21:4 - Ele enxugará dos seus olhos toda lágrima. Não haverá mais morte, nem tristeza, nem choro, nem dor, pois a antiga ordem já passou."
83,Sábado,Esperança e Força,"1Pe 1:21, 1Pe 3:15, 1Jo 3:3","1Pe 1:21 - Por meio dele vocês crêem em Deus, que o ressuscitou dentre os mortos e o glorificou, de modo que a fé e a esperança de vocês estão em Deus. | 1Pe 3:15 - Antes, santifiquem a Cristo, como Senhor, em seus corações. Estejam sempre preparados para responder a qualquer pessoa que lhes pedir a razão da esperança que há em vocês. | 1Jo 3:3 - Todo aquele que nele tem esta esperança purifica-se a si mesmo, assim como ele é puro."
84,Domingo,Gratidão e Louvor,"2Ts 1:3, 1Tm 1:12, Hb 13:15","2Ts 1:3 - Devemos sempre dar graças a Deus por vocês, irmãos, como é justo, porque a fé que vocês têm cresce cada vez mais, e muito aumenta o amor de todos vocês uns pelos outros. | 1Tm 1:12 - Dou graças a Cristo Jesus, nosso Senhor, que me deu forças e me considerou fiel, designando-me para o ministério. | Hb 13:15 - Por meio de Jesus, portanto, ofereçamos continuamente a Deus um sacrifício de louvor, que é fruto de lábios que confessam o seu nome."
85,Segunda,Recomeço,"Lc 19:10, Jo 10:10, 2Co 3:18","Lc 19:10 - Pois o Filho do homem veio buscar e salvar o que estava perdido. | Jo 10:10 - O ladrão vem apenas para roubar, matar e destruir; eu vim para que tenham vida, e a tenham plenamente. | 2Co 3:18 - E todos nós, que com o rosto descoberto contemplamos a glória do Senhor, segundo a sua imagem estamos sendo transformados com glória cada vez maior, a qual vem do Senhor, que é o Espírito."
86,Terça,Foco e Autocontrole,"1Tm 6:11-12, Tg 4:7, 1Pe 2:11","1Tm 6:11-12 - Você, porém, homem de Deus, fuja de tudo isso e busque a justiça, a piedade, a fé, o amor, a perseverança e a mansidão. Combata o bom combate da fé. Tome posse da vida eterna. | Tg 4:7 - Portanto, submetam-se a Deus. Resistam ao Diabo, e ele fugirá de vocês. | 1Pe 2:11 - Amados, exorto-os, como a estrangeiros e peregrinos, a se absterem das paixões carnais que guerreiam contra a alma."
87,Quarta,Família,"1Ts 5:11, Tg 5:16, 1Pe 4:8","1Ts 5:11 - Por isso, animem-se uns aos outros e edifiquem-se mutuamente, como de fato vocês estão fazendo. | Tg 5:16 - Portanto, confessem os seus pecados uns aos outros e orem uns pelos outros para serem curados. A oração de um justo é poderosa e eficaz. | 1Pe 4:8 - Sobretudo, amem-se sinceramente uns aos outros, porque o amor perdoa muitíssimos pecados."
88,Quinta,Organização e Finanças,"Dt 15:7-8, Rt 2:12, Ne 4:6","Dt 15:7-8 - Se houver algum pobre no meio de vocês em alguma das suas cidades... não endureçam o coração, nem fechem as mãos para com o seu irmão pobre. Pelo contrário, tenham mão aberta e emprestem-lhe livremente o que ele necessitar. | Rt 2:12 - O Senhor lhe retribua o que você tem feito, e seja rica a sua recompensa da parte do Senhor, Deus de Israel, sob cujas asas você veio buscar refúgio! | Ne 4:6 - Nesse meio tempo fomos reconstruindo o muro, até que em toda a sua extensão chegamos à metade da sua altura, pois o povo estava totalmente dedicado ao trabalho."
89,Sexta,Paz e Cura,"Mt 6:34, Jo 14:1, Rm 15:33","Mt 6:34 - Portanto, não se preocupem com o amanhã, pois o amanhã trará as suas próprias preocupações. Basta a cada dia o seu próprio mal. | Jo 14:1 - Não se turbe o vosso coração; credes em Deus, crede também em mim. | Rm 15:33 - O Deus da paz seja com todos vocês. Amém."
90,Sábado,Esperança e Força,"Sl 25:3, Sl 119:49-50, Mq 7:7","Sl 25:3 - Nenhum dos que esperam em ti ficará desapontado; desapontados ficarão os que, sem motivo, agem traiçoeiramente. | Sl 119:49-50 - Lembra-te da palavra que deste ao teu servo, na qual me fizeste esperar. Este é o meu consolo no meu sofrimento: a tua promessa me dá vida. | Mq 7:7 - Mas, quanto a mim, ficarei atento ao Senhor, esperando em Deus, o meu Salvador; o meu Deus me ouvirá."
